돈의 왕,장호,미스터리,https://novel.naver.com//webnovel/list?novelId=876194,"
12살의 어느 날, 명우는 아버지와 함께 간 증권거래소에서 파도처럼 요동치는 숫자들과 사랑에 빠진다. 그 후로 명우는 황홀한 돈의 세상에 뛰어들기로 결심한다. 
하지만 20살을 갓 넘길 무렵 IMF 외환위기로 증권사 지점장이던 아버지가 죽음을 맞이하고, 명우는 그 죽음 뒤에 국제적인 금융마피아의 우두머리 스노우가 있다는 사실을 알게 된다. 
스노우를 추적하기 위해 명우는 더 큰 돈의 세상으로 뛰어든다. 
그리고 마주하게 되는 스노우의 거대한 음모와 비밀. 
명우는 흑막 뒤에 가려진 스노우의 정체를 밝히고 복수를 완성할 수 있을까?
더보기
",101,60000,9.92,316,579,12
아빠가 누구라고요?,정은금,순정남-몸정>맘정-소유욕/집착-육아물-책빙의-로판,https://novel.naver.com//webnovel/list?novelId=1125118,"
“얘가… 내 딸이라고?”

로판 속 악녀 셀레스트 아이샤 루이제트에게 빙의한 지 6개월.
원작이 시작되기 전에 조용한 시골 마을로 도망 와 재력, 권력, 매력을 누리며 평화롭게 살던 어느 날.
내게 숨겨진 아이가 있다는 것을 알게 되었다.

""부부빠?""

쏟아질 것같이 커다란 눈에, 깨물어 주고 싶은 볼살.
머리부터 발끝까지 깜찍함으로 중무장한 돌배기 아이가 내 딸이라니?
그런데 더 큰 문제는….

“발레리가 내 아이입니까?”

날 죽일 예정인 남주이자 알브레히트 대공, 카를이 아이의 아빠로 추정된다는 것이다.
말도 안 돼, 원작에 이런 내용은 없었잖아!

나는 애써 현실을 외면해 보려 했지만,
잘생긴 눈을 번득이며 말하는 그와 해맑은 아이의 외침에 인정할 수밖에 없었다.

“그 밤까지 잊었다고 말하지 마십시오. 나는 단 한 순간도 잊은 적 없으니까.”
“파파!”

이 남자가 내 아이의 아빠라는 것을.
더보기
",194,590000,9.91,196,516,2
악역 꿈나무의 언니가 되었습니다,불탄소,로판,https://novel.naver.com//webnovel/list?novelId=1099143,"
“아들을 낳아 준다 하지 않았나?”

가족들에게 이용만 당하다 죽는 주인공의 언니가 되었다.
막내를 구하기 위해 황제와 결혼했는데, 황제가 이상하다?

“……아, 그게 나, 낳는다곤 안 했는데요?”
“그래? 그러면 이제 나를 따라 하도록 해.”
“네……?”

와인에 취한 건지 끈적하게 다가온 그는 내 머리칼을 손으로 쓸었다.

“내 아들을 낳겠다고.”
“…….”
“알아들은 걸로 하고 침대로 가지.”

되게 재미없는 진부한 프러포즈인데요? 하지만 이 남자, 좀 위험하다.
거기에 막내와 이 남자의 아들까지…… 가짜 가족들이 내게 집착하기 시작했다?
더보기
",151,370000,9.83,220,467,8
미친 악당과의 계략적 결혼 생활,차그믐,로판,https://novel.naver.com//webnovel/list?novelId=1125120,"
남주가 여주에게 절절하게 매달리는 후회물속에서 환생했다. 그런데 여주는 아니고.......

“우리 결혼 1년만 더 미뤘으면 하는데.”
“.......”
“아. 그리고 내일 만나기로 한 거 말이야. 갑자기 급한 약속이 잡혀서 못 만날 거 같네.”

남주에게 버려지는 조연 로엘 이벨르로!

가차없이 버려지는 신세도 서러운데, 2년 뒤 원작 속 악당과 약혼할 운명이다. 어디 그뿐인가. 약혼한 직후, 악당이 반역을 시도하는 바람에 악당과 함께 처형 당하는 것으로 인생을 마감한다.
그 모든 것을 알고 있던 나는 최대한 원작을 지키다 내가 원하는 때에 원작에서 하차하기로 마음먹었다.

그런데...... 그만 악당을 구해버리고 말았다?

***

땡전 한 푼 없이 도망치려다 악당에게 설득당해 계약 결혼했다. 하지만 이 계약 결혼도 오늘부로 끝이다.

‘드디어 원작에서 하차하는 거야.’

그렇게 대공성을 떠나려는데 소설 속 악당이자 내 가짜 남편, 레우스가 내 앞을 가로막는 것이 아닌가.

“짐은 내려놓고 이만 잠에 드는 게 좋겠습니다, 로엘.”
“레우스. 잊은 모양인데 오늘이 그날이에요. 제가 항상 말하던 벨리아타로 떠나는 날이요.”
“압니다.”
“네, 오늘이...... 네?”
“로엘. 벨리아타로 향하는 배는 앞으로 뜨지 않을 겁니다. 영원히.”

레우스가 내 볼을 지분거리며 말을 이었다.

“혹시라도 괜한 희망을 품을까 봐.”

나를 배신할 거라고 생각지도 못했던 내 가짜 남편에게 배신당했다.

저한테 왜 이러시는 거예요, 악당님!
더보기
",135,930000,9.88,143,374,0
나 혼자만 모든 직업,재시작,현판,https://novel.naver.com//webnovel/list?novelId=1086225,"
2020 지상최대공모전 수상작!

-직업? 굳이 하나만 고를 필요 있어?

100층탑을 클리어하기 위한 최고의 직업은 무엇일까?
전사? 마법사? 도적? 성직자? 그것도 아니면 대장장이?
사실, 정답은 정해져 있다.

‘모든 직업.’

검술, 마법, 자물쇠 따기, 격투, 연금술 포션 제작, 소환술, 무기 제작 등등.
못 하는 게 없는 최강의 만능 플레이어 강은혁!
치밀하고 통쾌한 전략으로 랭커들을 짓밟고 직업을 흡수하며 탑을 공략한다!
더보기
",434,5810000,9.93,254,654,4
커피 뽑고 레벨 업!,금생,현판,https://novel.naver.com//webnovel/list?novelId=1012541,"
튜토리얼 탑의 최강자이자 탑의 유일무이 카페, 탑 커피(Top Coffee) 카페의 주인 정성호. 모든 사람들은 지구로 귀환하고 10년을 홀로 보낸 그가 지구로 갈 결심을 한다. ""커피가... 커피가 없어!"" 그가 지구로 귀환한다! [추출에 성공했습니다.] [레벨이 상승했습니다.] 커피만 뽑아도 레벨이 오른다고? 그런데 그 커피가 버프까지 줘...? 마약 같은 커피를 파는 이곳! 어서 오세요. 귀환자의 커피는 특별합니다.
더보기
",200,1640000,9.84,293,396,11
부재의 시간,방구석리,미스터리,https://novel.naver.com//webnovel/list?novelId=949760,"
“위층에 올라간 아내가 사라졌어요. 위층 남자가 살인범일지도 몰라요!” 
어느 날 아내가 연기처럼 사라진 남편. 
“마치 죽어도 상관없는 사람 같잖아.” 
연달아 벌어진 섬뜩한 자살 사건 앞에 선 형사. 
각기 다른 장소에서 벌어진 두 가지 사건이 이도건설이라는 하나의 공통분모 아래 묶이면서 충격적 실체가 드러난다. 
추악한 인간의 양면성이 창조한 악마들이 도시를 활보하기 시작하고, 반전의 반전을 거듭하며 밝혀지는 무서운 진실. 
과연 이들은 괴물에게서 벗어날 수 있을까.
더보기
",94,30000,9.93,357,575,16
게임마스터,둥치,판타지,https://novel.naver.com//webnovel/list?novelId=1051340,"
반복되는 무료한 일상 속에서 운명처럼 찾아온 게임.
 
[히어로즈 데스티니]
 
10년 동안 파고든 끝에 마침내 클리어했지만, 남은 것은 이제 평범한 일상으로 돌아가야 한다는 허무함뿐이었다.
 
그때 새롭게 떠오른 메시지.
 
[새로운 모험을 원하십니까?] 
[예/아니오]
 
그는 몰랐다. 
정말로 낯선 장소에서 낯선 몸으로 눈을 뜨게 될 줄은.
 
‘기억해. 이제 나는 칼릭스 슈체친이야. 그리고…… 이 세계의 주인공이 되겠어!’
더보기
",315,4820000,9.86,214,505,6
자고 일어나니 유부녀,지미신,회귀물-타임슬립-계약관계-소유욕/집착-츤데레남-로판,https://novel.naver.com//webnovel/list?novelId=1139613,"
목숨과 재산을 지키기 위해 가사 상태에 빠졌더니, 동생이 나를 팔아넘겼다.

“저기, 누구세요?”
“……일단은 그대의 남편인데.”

의식이 없는 여자를 부인으로 들인 괴짜는 이 나라 최고의 기사, 드래곤의 후예, 시더 그레니트.
위협적인 흑표범 같은 남자인 줄 알았더니, 이 남자 잔소리꾼이다?

“은근슬쩍 채소 남기지 마.”
“오래 살려면 운동해야지.”

운동은 무슨. 마법 지식은 있지만, 마력을 잃은 나는 오래 살고 싶지 않단 말이야.
그런데 이 남자, 드래곤의 후예라더니 마력이 심장에서 폭포수처럼 쏟아진다? 게다가 입을 맞추면 그 마력이 나에게 전달도 되는데?

“입술 좀 대 봐요.”
“내, 내 입술로 뭘 하려고?”
“입맞춤만 해도 이렇게 좋은데, 좀 더 농밀한 접촉을 하면 더 좋겠죠?”
""이, 이 여자가 진짜!”

당신, 내가 좋다면서! 그럼 아무 문제 없잖아. 우리 뽀뽀나 하자고!
더보기
",120,370000,9.91,170,541,1
은퇴한 절대자의 만물상점,김종혁,현판,https://novel.naver.com//webnovel/list?novelId=1058958,"
나는 은퇴 후 장사를 해보기로 했다.
더보기
",259,3940000,9.86,327,579,9
